Review Title,Review Text
Just wow!,"Absolutely worth for money. Battery life : Excellent battery life and pretty good charging speed. Chipset : SD860 is doing it's work. Amazing performance. Can't even imagine how did they brought a flagship chip into this price range.🤯Camera : Good camera for this price range.Display : Amoled display would have been great still 120hz is smooth although there's lack of depth in colours and when this mobile was tested with OP NORD aside, not looking great though.Software : I think tha..."
Best in the market!,Just Amazing  Battery life : Excellent Battery Life And Charging speed is so good. Chipset : SNAPDRAGON 860 is Just Amazing at this Price Range. Camera : Good camera at this price but it needs some improvement. Display : 120 HZ Display.... SO SMOOTH.... Performance : Performance is speechless 🔥     JUST GO FOR IT 🔥
Very Good,"Nice phone in this budget, Liquidcool technology, cools down too fast. Good camera, nice battery, Good display, Very good performance. A big heavy due to battery but its okay causeBattery backup is good. Just go for it, You won't regret."
Fabulous!,"Nice phone at this price segment, 🚴三 fast and snapyJust missing Super AMOLED display, else it's super"
Highly recommended,"Ohk so I ordered it on 13th JulyGot delivered on 17th July..In brief, the Device is excellent in performance..Ram management is good even it has miui.. worst ui.. still good Ram management.Camera 4/5Battery 5/5Display 4/5Performance 5/5For Gamers, I've done extreme test on this device...Smooth Extreme Sanhok Bootcamp 58 avg fpsHDR Extreme Sanhok Bootcamp 59 avg fpsAs it has 120hz panel, by using config, i unlocked 90 fps..Smooth 90 FPS Sanhok Bootcamp 82 avg fpsHDR 90 FPS Sanhok..."
Super!,Simply awesome device. Performance of this mobile is mind blowing. I'm playing pubg in Ultra HD with extreme smoothness. And I have seen in most of the reviews that the camera quality was bad. So that attaching the photos that I captured on my mobile Poco X3 Pro and added a little adjustments. So that you can decide whether it is good or bad.        You feels like that you're in a mini theatre with these loud stereo speakers. Mobile design also looking good other than in the website or app. ...
Just wow!,"Those who are gonna buy this X3P knows very much about pros n cons of the device, I will not waste your n mine time in writing it. Instead I will share my experience of past 1 week with this X3P.1> First of all I want to clarify that don't compare this device to redmi note 10 series... Both the phones are targeted to different audience. 2> DISPLAY, I would say it's very nice display regarding the price at which you get it with SD860.Yeah I missed the deeper blacks and punchier colours of ..."
Fabulous!,This mobile is easy to feel the power of 120 hz display and the processor also help to speed up process. The only problem is the battery drain quickly. The mobile is always  warm and you feel heat in your hand but the update only fix this issue. I already used poco X3.Poco x3 is slower than this but the battery backup is awesome and the mobile don't get heat for normal usage.So you are a Gamer choose this one but the battery last only 4hrs on heavy game like pubg and cod.you are normal u...
Simply awesome,"Great performance, superb battery, great display, premium look, stock camera is average but works wonders on installing google camera, overall best phone in this price range, the network speed has some issues which needs to be resolved"
Good choice,"First & Foremost thanks Flipkart for safe & fast delivery, honestly receive the phone in well package fully satisfied with the delivery.My honest review about the phone 😊after using for 1 week. Performance is top notched due 2 Qualcom SD860 Chipset in this price segment no doubt. Battery backup also works good & lasts for a day even if we use continuously by playing games, watching videos,etc. Camera is average not up to the point. LCD display is good but not up to the point it should ..."
